idParcela,id,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,geometry,Propietario,direccion,TextoReclamo,ValorReclamo,Valuacion_Danios,Validado,dnbr_promedio,dnbrmejoras,dnbrurbano,valsup,mejorasurbana,reclamomejoras
2519551,parcelas.1968815804.503484,2304694302023118,URBANO,VAL. URBANO,BALDIO,LT. 118 - MZ. OF. 23,0033-129291/2022,01-2023,08-2022,0.5,735.0,740795.48,2023-11-01 00:00:00+00:00,0.0,2015.77,740795.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SAN ROQUE,,1968815804.0,1904246.0,230443196663.0,2304,"MULTIPOLYGON (((350955.69172769866 -3482913.519007719, 350948.1847316979 -3482928.203131718, 350913.7185236977 -3482910.5401997208, 350911.5094076977 -3482924.574583721, 350942.0271956985 -3482940.2183237188, 350987.34314359503 -3482963.4659846844, 351000.6837684499 -3482936.6297857906, 350955.69172769866 -3482913.519007719)))",Alma Gutierrez Cuesta,"Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A la atención de los señores de SierraVolt Energética Limitada,

Me dirijo a ustedes en nombre de mi representada, la señora Alma Gutierrez Cuesta, dueña de un terreno situado en la Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Desafortunadamente, la propiedad de mi cliente ha padecido daños considerables a causa de un incendio forestal reciente. Si bien la parcela es de índole urbano, no había construcciones en el terreno, lo que ha ocasionado una acumulación importante de hollín y cenizas.

La señora Gutierrez Cuesta se ha visto obligada a contratar servicios de limpieza y restauración del terreno, generando gastos imprevistos y relevantes. Por ende, nos encontramos en la situación de presentar una reclamación por los perjuicios sufridos.

El importe total de los daños se eleva a $16.566.448 pesos argentinos. Dicha cifra incluye los costos de limpieza, restauración del terreno y otros gastos conexos.

Rogamos que esta solicitud sea tramitada con la mayor celeridad posible, para que mi cliente pueda iniciar la recuperación de su propiedad y paliar los efectos de este lamentable suceso.

Desde ya, agradecemos su atención en este tema y aguardamos su respuesta a la brevedad.

Cordialmente,



Córdoba, Argentina.",16566448.14,,,-2140.333251953125,-0.0,-1585549198.740576,0.0,0.0,0.0
2449020,parcelas.1134491604.1492639,2304553803282033,URBANO,VAL. URBANO,BALDIO,MZ 282 LT 33,0033-087801/2014,01-2020,11-2019,0.6,1500.0,1204668.0,2023-11-01 00:00:00+00:00,0.0,1338.52,1204668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SAN ROQUE,VILLA CARLOS PAZ,1134491604.0,1845414.0,230442355598.0,2304,"MULTIPOLYGON (((355637.2482086451 -3479241.4058652995, 355631.14065264544 -3479294.5346053015, 355655.41094064526 -3479302.3914613007, 355661.35856064426 -3479248.3131012986, 355659.7791926439 -3479248.0931893, 355651.1026646446 -3479245.6441693, 355642.7759966445 -3479242.9052652987, 355637.2482086451 -3479241.4058652995)))",Rolando Iglesia Patiño,"Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraV Segura,

Me presento, soy Rolando Iglesia Patiño, dueño de un terreno urbano situado en Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo preocupado por los perjuicios ocasionados en mi propiedad debido a un reciente incendio forestal.

Desafortunadamente, el terreno estaba desocupado, sin edificaciones, y la magnitud del incendio requirió una evacuación onerosa y compleja de la zona. Me encuentro en la obligación de presentar un reclamo por la suma de $7.775.382, que estimo necesaria para afrontar los costos de limpieza, reparación y restauración del terreno.

Confío en que la empresa SierraV Segura me brinde el respaldo necesario en estos momentos complicados y me asista en la recuperación de mi propiedad en Villa Carlos Paz. Les agradezco de antemano su atención y comprensión en este tema.

Aguardo su respuesta a la brevedad.

Atentamente,

Rolando Iglesia Patiño.",7775382.68,,,1276.1666259765625,0.0,1537357096.9819336,0.0,0.0,0.0
2448933,parcelas.1134483604.595151,2304553803277037,URBANO,VAL. URBANO,BALDIO,MZ 277 LT 37,0033-087801/2014,01-2020,11-2019,0.9,1500.0,1624320.0,2023-11-01 00:00:00+00:00,0.0,1203.2,1624320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SAN ROQUE,VILLA CARLOS PAZ,1134483604.0,1845327.0,230442354729.0,2304,"MULTIPOLYGON (((355476.13268064545 -3478789.5066972896, 355478.73164064606 -3478819.2547932924, 355518.8655806451 -3478815.756193292, 355516.496528645 -3478788.9869052907, 355516.23663264536 -3478786.018093291, 355476.13268064545 -3478789.5066972896)))",Ale Angelita Arias Blanco,"Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraV Segura,

Soy Ale Angelita Arias Blanco, dueña de un terreno situado en Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con una gran inquietud debido a los perjuicios que ha sufrido mi propiedad a raíz de un reciente incendio forestal.

El terreno de que hablo es urbano y, desafortunadamente, no tiene edificaciones. La situación es verdaderamente descorazonadora, ya que los árboles y la madera que se hallaban en la parcela han sido seriamente dañados por el fuego. La vegetación era un componente esencial de mi propiedad y su pérdida supone un fuerte golpe económico y emocional para mí.

Dada la situación que les describo, quisiera presentar una reclamación por el valor de $20.201.163, que considero apropiado para resarcir los daños padecidos en mi terreno. Les agradezco de antemano su atención y cooperación en este momento complicado y espero que podamos hallar una solución justa y a tiempo.

Aguardo su respuesta a la brevedad.

Cordialmente,

Ale Angelita Arias Blanco
Dueña en Villa Carlos Paz, Departamento Punilla, Córdoba.",20201163.26,,,2542.333251953125,0.0,4129562747.8125,0.0,0.0,0.0
1205390,parcelas.378770638.725360,2305604702047012,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 47 LT 12,0033-034424/2000,01-2000,03-2007,0.9,665.0,2505008.1,2023-11-01 00:00:00+00:00,0.0,705.0,421942.5,0.0,0.0,0.0,0.0,110.0,2083065.6,0.0,1.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,378770638.0,1007130.0,230522443005.0,2305,"MULTIPOLYGON (((352758.9190307173 -3482607.3124434925, 352747.62232076866 -3482569.8544852203, 352729.9596287428 -3482573.5870488873, 352741.25633868075 -3482611.0450071595, 352758.9190307173 -3482607.3124434925)))",Marco Barceló Luís," Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Pa' Volterra Seguros,

Soy Marco Barceló Luís, dueño de un terreno urbano en Villa Icho Cruz, Departamento Punilla, Córdoba. Les escribo pa' presentar una reclamación por los daños sufridos en mi propiedad ubicada en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.

Hace poquito, un incendio forestal afectó la zona y causó daños considerables en mi terreno. Por suerte, no había construcciones en el lugar, pero la tierra ha quedado bastante deteriorada y con signos de desgaste. Me preocupa que esto pueda afectar el valor de mi propiedad y la posibilidad de construir en el futuro.

Entonces, me gustaría pedir una indemnización por los daños sufridos, que ascienden a un total de $37.072.357. Agradezco de antemano su atención a este asunto y espero que podamos resolverlo de manera satisfactoria.

Espero su pronta respuesta.

Saludos cordiales,

Marco Barceló Luís.",37072357.6,,,719.75,1499286465.6000001,303693114.375,229137216.0,2950.517847025496,695713088535.6627
1141971,parcelas.4486739.890158,2304463102010010,URBANO,VAL. URBANO,BALDIO,032 018,,01-1901,03-2007,1.1,665.0,167513.5,2023-11-01 00:00:00+00:00,0.0,229.0,167513.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SAN ROQUE,SAN ROQUE,4486739.0,954060.0,230431450424.0,2304,"MULTIPOLYGON (((362283.6740601867 -3467544.0858462914, 362311.032495414 -3467535.785207214, 362304.82677342586 -3467527.129525822, 362280.6685369273 -3467534.518857686, 362283.6740601867 -3467544.0858462914)))",Pía Ligia Valdés Morán," San Sebastián, Comuna de San Roque, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A los representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como abogados de la Sra. Pía Ligia Valdés Morán, dueña de un terreno situado en San Sebastián, Comuna de San Roque, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El motivo de esta carta es presentar una demanda por los daños y perjuicios sufridos a causa de un incendio forestal en la región.

El terreno mencionado es de tipo urbano y, de acuerdo a nuestros archivos, se halla en condición de baldío, sin edificaciones. La localidad afectada es San Roque, que forma parte del departamento de Punilla, en la provincia de Córdoba.

Nuestra representada, la Sra. Valdés Morán, ha experimentado un fuerte impacto emocional y psicológico debido a la destrucción provocada por el incendio en su propiedad y en la comunidad en general. La pérdida de su terreno y la incertidumbre acerca del futuro de la zona han causado un profundo malestar en ella.

Por consiguiente, en representación de la Sra. Pía Ligia Valdés Morán, solicitamos una compensación por daños y perjuicios, cuyo importe asciende a la suma de $131.149 pesos argentinos. Este monto se fundamenta en una evaluación de los daños padecidos y en el impacto emocional y psicológico que ha sufrido nuestra representada.

Agradecemos su atención en este asunto y aguardamos una respuesta pronta por parte de SierraVolt Energética Limitada. De no obtener una respuesta satisfactoria en un plazo adecuado, nos veremos obligados a tomar las acciones legales correspondientes para asegurar los derechos e intereses de nuestra representada.

Sin más que agregar, nos despedimos cordialmente.

Lic. Juan Carlos Pérez
Estudio Jurídico Pérez & Asociados",131149.88,,,982.5,0.0,164582013.75,0.0,0.0,0.0
2335841,parcelas.2007349604.1193144,2305604701154100,URBANO,VAL. RURAL,BALDIO,Lote 100 Mz. S/d,0033-103255/2017,01-2018,11-2017,,,3414768.0,2023-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,40652.0,3414768.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,2007349604.0,1803968.0,230541771293.0,2305,"MULTIPOLYGON (((351209.8198886655 -3481962.9867973523, 351200.37366866553 -3481973.742493352, 351183.71033666574 -3481989.7161013517, 351161.9290526656 -3482010.2778733512, 351159.64996466547 -3482009.3182573533, 351148.0745966659 -3482021.133529352, 351146.2953086659 -3482025.261877353, 351134.96984066593 -3482036.727289354, 351131.4412526663 -3482038.516573354, 351128.8023086663 -3482042.6149333525, 351119.56600466627 -3482052.4010173534, 351117.436856666 -3482062.9368013525, 351123.50442866597 -3482080.6197253536, 351145.0158206662 -3482085.1779013528, 351156.5212166661 -3482104.7400733554, 351173.3944646651 -3482146.323433355, 351177.5528006653 -3482180.649697354, 351169.7359286652 -3482215.1758813574, 351183.96023666626 -3482256.609301356, 351197.08498466515 -3482263.6464853566, 351236.80500628904 -3482308.9127151417, 351247.09274297836 -3482308.7754022484, 351276.2033246653 -3482297.792821357, 351305.1417446643 -3481972.8428533515, 351293.27649266407 -3481973.362645351, 351246.9150446646 -3481968.5345773515, 351209.8198886655 -3481962.9867973523)))",Fermín Sanmiguel," Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los Estimados de Volterra Seguros,

Me presento, soy Fermín Sanmiguel, dueño de un lote en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Se trata de un terreno urbano, sin construcciones, en la localidad de Villa Icho Cruz, departamento Punilla.

Les escribo para comunicarles un suceso lamentable que ha tenido lugar recientemente. Un fuego forestal devastó una gran parte de mi propiedad, dejándola en un estado lamentable. Este suceso ha interrumpido mis proyectos de desarrollo para el terreno, lo que ha supuesto una pérdida económica considerable para mí.

Por ende, me gustaría presentar una reclamación por el valor de $84.288.835. Confío en que podamos solucionar este tema de manera rápida y eficaz.

Desde ya, agradezco su atención a este asunto.

Cordialmente,
Fermín Sanmiguel.",84288835.51,,,-1474.9193115234375,-0.0,-0.0,0.0,0.0,0.0
1204121,parcelas.2007359404.1170410,2305604701128024,URBANO,VAL. URBANO,BALDIO,LT C 1,,01-1901,03-2007,0.5,840.0,1590960.0,2023-11-01 00:00:00+00:00,0.0,3788.0,1590960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,2007359404.0,1005988.0,230517192550.0,2305,"MULTIPOLYGON (((351024.3916079596 -3482050.3560925312, 351068.3516479172 -3482033.304871558, 351063.68107228394 -3482021.4254980492, 351047.5864251789 -3481986.379981384, 351026.8162858588 -3481956.3470848496, 351003.082124683 -3481967.5832102206, 350994.33757010475 -3481976.4663003027, 351024.3916079596 -3482050.3560925312)))",María Teresa Crespo Artigas," Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los estimados representantes de SierraV Segura,

Me presento, soy María Teresa Crespo Artigas, dueña de un terreno situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con mucha preocupación a raíz de los perjuicios ocasionados en mi propiedad por un reciente incendio forestal.

El lote en cuestión es de carácter urbano y, desafortunadamente, estaba desocupado en el momento del siniestro. La localidad de Villa Icho Cruz, donde se halla mi propiedad, ha sido seriamente afectada por las llamas, lo cual ha interrumpido mis planes de construcción y desarrollo en el área.

A causa de esta situación, me veo obligada a presentar un reclamo por la suma de $57.360.344, monto que estimo necesario para subsanar los daños provocados y continuar con mis proyectos en el terreno damnificado.

Desde ya, agradezco su atención y comprensión en estos momentos difíciles. Aguardo ansiosa su pronta respuesta y una resolución favorable a mi solicitud.

Cordialmente,

María Teresa Crespo Artigas.",57360344.85,,,2663.0,0.0,4236726480.0,0.0,0.0,0.0
1204123,parcelas.2007356404.28644,2305604701128026,URBANO,VAL. URBANO,BALDIO,LT 3,,01-1901,03-2007,0.5,840.0,1454040.0,2023-11-01 00:00:00+00:00,0.0,3462.0,1454040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,2007356404.0,1005990.0,230517192576.0,2305,"MULTIPOLYGON (((351063.68107228394 -3482021.4254980492, 351068.3516479172 -3482033.304871558, 351086.76372837694 -3482035.19618518, 351089.5509059294 -3482017.9603974232, 351086.91586618754 -3481960.6739161233, 351064.9915662274 -3481935.124744321, 351026.8162858588 -3481956.3470848496, 351047.5864251789 -3481986.379981384, 351063.68107228394 -3482021.4254980492)))",,,"Para los distinguidos representantes de Aseguradora del Norte,

Me presento, soy Corona Borja Torrent, dueño de un lote situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Me veo en la necesidad de contactarlos para presentar una queja por los perjuicios ocasionados en mi propiedad a causa de un reciente incendio forestal.

El lote en cuestión es de carácter urbano y, desafortunadamente, se halla en estado de baldío, sin edificaciones registradas. La localidad afectada es Villa Icho Cruz, que pertenece al departamento de Punilla.

Como consecuencia del siniestro, he evaluado los daños y he determinado que la suma necesaria para cubrir las pérdidas y reparaciones asciende a un valor menor a $52.469.166. Desafortunadamente, he comprobado que mi póliza de seguro actual no alcanza para cubrir la totalidad de los gastos que este lamentable suceso ha generado.

Por ende, solicito de manera formal a Aseguradora del Norte que analice mi situación y proceda con el desembolso correspondiente a los daños sufridos en mi propiedad, conforme a los términos y condiciones de mi póliza de seguro.

Desde ya, agradezco su atención y cooperación en este asunto. Aguardo su pronta respuesta y una resolución favorable.

Cordialmente,

Corona Borja Torrent
Dueño",52469166.84,,,2151.300048828125,0.0,3128076322.998047,0.0,0.0,0.0
1204524,parcelas.1191759651.1397302,2305604702001015,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 42 LTE 24,00001091642,01-1901,03-2007,0.9,770.0,4545173.62,2023-11-01 00:00:00+00:00,0.0,1178.0,816354.0,0.0,0.0,0.0,0.0,202.0,3728819.62,0.0,1.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,1191759651.0,1006349.0,230510916421.0,2305,"MULTIPOLYGON (((353286.7731361117 -3482367.365818614, 353303.82876349083 -3482360.4311174448, 353333.16069408366 -3482348.498433418, 353324.914022402 -3482327.663079476, 353285.7735474873 -3482328.6626680186, 353286.7731361117 -3482367.365818614)))",,,"Para los distinguidos representantes de Aseguradora del Norte,

Me presento, soy Valero López Capdevila, dueño de un terreno situado en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Me veo en la necesidad de contactarlos para presentar una reclamación por los daños ocasionados en mi propiedad a causa de un incendio forestal.

El terreno en cuestión es de carácter urbano y, de acuerdo a los registros, no posee construcciones. Se ubica en la localidad de Villa Icho Cruz, perteneciente al departamento de Punilla. Desafortunadamente, el incendio ha provocado daños considerables en la vegetación y el ambiente natural del lugar, lo que ha repercutido en el valor de mi propiedad.

Como titular de una póliza de seguro con Aseguradora del Norte, solicito su apoyo para cubrir los costos de restauración y recuperación del terreno, así como para implementar las medidas necesarias para prevenir incidentes futuros de la misma índole. El monto que reclamo por los daños sufridos asciende a $28.093.554 pesos argentinos.

Desde ya, agradezco su atención a este asunto y aguardo su pronta respuesta para coordinar los próximos pasos en el proceso de reclamación.

Cordialmente,

Valero López Capdevila.",28093554.46,,,-807.5999755859375,-3011394634.076365,-659287470.4694824,753221563.24,3162.696878710772,516038409192.0518
1199984,parcelas.13156555.1209200,2305517556352148,RURAL,VAL. RURAL,EDIFICADO NoPH,LOTE B,13201719688,01-1901,03-2007,,,16314312.55,2023-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,10535.0,2157041.25,0.0,712.0,14157271.3,0.0,1.0,PUNILLA,SANTIAGO,,13156555.0,1002395.0,230517196881.0,2305,"MULTIPOLYGON (((352135.579492489 -3483064.9093690473, 352187.8717658494 -3483125.1328703472, 352266.7709408105 -3482952.460705029, 352241.38979941944 -3482918.7802945534, 352135.579492489 -3483064.9093690473)))",,,"Apreciados miembros de Aseguradora del Norte,

Me presento, soy Cleto Camps Montoya, dueño de un terreno rural situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, Argentina. Me pongo en contacto con ustedes para elevar una queja por los perjuicios ocasionados en mi propiedad.

Hace poco, mi parcela sufrió un incendio forestal arrasador que provocó daños considerables. La vegetación que cubría mi terreno, incluidos numerosos árboles de madera de excelente calidad, fue devorada por el fuego. Este suceso ha afectado de manera importante el valor de mi propiedad y mi posibilidad de utilizarla según lo planeado.

Cabe destacar que en mi parcela no hay construcciones, por lo que los perjuicios se circunscriben únicamente a la vegetación y a los recursos naturales existentes en el terreno. No obstante, la pérdida de estos recursos implica un daño económico relevante.

Por consiguiente, me veo obligado a presentar una queja por el monto de los perjuicios ocasionados, que asciende a $299.327.120. Esta cifra refleja el valor de los árboles y la madera perdidos en el incendio, así como el costo de la reforestación y la recuperación del terreno.

Les agradezco de antemano su atención a esta queja y confío en que Aseguradora del Norte abordará este tema con la seriedad y la diligencia que distinguen a su compañía. Me encuentro a su disposición para brindar cualquier información adicional que puedan necesitar para el trámite de mi queja.

Cordialmente,

Cleto Camps Montoya
Dueño",299327120.08,,,199.2916717529297,2821426264.8367724,0.0,10079977165.6,14157271.3,5943415492875.509
